Amostra,Tratamento,especie,Grupo,individuo,N,P,Mg,K,Ca,Al_ppm ,area,peso
1,Floresta,AT,D,1,2.356,0.1143,0.1497,1.197,0.3188,122.8,287.7639,3.6336
2,Floresta,AT,D,2,2.073,0.1143,0.1797,1.444,0.4126,251.8,262.0324,2.4914
3,Floresta,AT,D,3,2.026,0.1214,0.1332,0.366,0.3712,206.5,183.8777,2.1648
4,Floresta,BC,B,1,1.319,0.0643,0.1589,0.679,0.5763,96.8,149.0855,1.8616
5,Floresta,BC,B,2,1.225,0.0714,0.1134,0.957,0.4584,103.3,262.6117,4.3923
6,Floresta,BC,B,3,1.366,0.0786,0.1164,0.75,0.3467,58,178.9461,3.1272
7,Floresta,BS,B,1,1.131,0.0786,0.1365,0.496,0.4632,90.3,118.8727,1.337
8,Floresta,BS,B,2,1.366,0.0857,0.1537,0.458,0.5888,84,164.1861,1.8377
9,Floresta,BS,B,3,1.413,0.0857,0.1338,0.438,0.5784,116.3,136.9423,1.9398
10,Floresta,CB,B,1,1.178,0.0929,0.088,0.318,0.3148,45.3,490.1681,5.5993
11,Floresta,CB,B,2,1.272,0.0786,0.0788,0.233,0.1205,51.8,311.9271,4.7679
12,Floresta,CB,B,3,1.555,0.0714,0.0822,0.336,0.1115,38.8,288.3213,5.3762
13,Floresta,DM,B,1,2.026,0.0857,0.1217,0.429,0.3278,148.5,189.4112,1.2768
14,Floresta,DM,B,2,2.497,0.1,0.1271,0.487,0.3647,219.5,210.9299,2.2233
15,Floresta,DM,B,3,2.073,0.0571,0.0986,0.284,0.1801,129,259.2401,2.5181
16,Floresta,GN,D,1,4.617,0.1429,0.2469,1.263,0.6451,180.8,273.6801,3.9205
17,Floresta,GN,D,2,3.769,0.1571,0.1756,1.388,0.2662,148.5,385.4173,3.6223
18,Floresta,GN,D,3,3.298,0.1429,0.215,1.79,0.5002,167.8,180.2261,1.8985
19,Floresta,KC,D,1,1.225,0.0786,0.1123,0.567,0.311,155,286.9485,4.7842
20,Floresta,KC,D,2,1.413,0.1,0.1307,0.459,0.3364,180.8,145.1481,1.4182
21,Floresta,KC,D,3,1.131,0.0714,0.0952,0.479,0.2541,77.5,245.1298,4.8254
22,Floresta,MP,S,1,1.225,0.05,0.1057,0.246,0.3366,1569.5,129.0701,2.5032
23,Floresta,MP,S,2,1.131,0.0357,0.0713,0.261,0.236,1498.3,121.674,2.4671
24,Floresta,MP,S,3,1.366,0.05,0.075,0.362,0.25,2685,129.4739,2.6346
25,Floresta,OH,S,1,1.413,0.0714,0.1483,0.509,0.4912,193.8,186.8996,2.4155
26,Floresta,OH,S,2,1.413,0.0786,0.1437,0.72,0.3892,38.8,214.7563,2.4677
27,Floresta,OH,S,3,1.413,0.0714,0.1775,0.665,0.8393,135.5,165.8371,2.0523
28,Floresta,QG,D,1,1.413,0.0786,0.1006,0.368,0.4161,5545,290.1491,4.7279
29,Floresta,QG,D,2,1.319,0.0786,0.0948,0.458,0.3793,5485,245.0776,3.4839
30,Floresta,QG,D,3,1.602,0.0786,0.0794,0.426,0.1604,3902.5,200.2596,2.0244
31,Floresta,QP,D,1,1.837,0.0714,0.0776,0.376,0.412,12345,195.0886,2.1092
